alg	i	diff	solved	time	mem
Simulated Annealing	47	hard	True	5.4576549530	8.4365234375
Depth-first search	48	hard	True	0.0848419666	1026.0546875
Depth-first with AC3	48	hard	True	0.0067539215	222.25
Dancing Links	48	hard	True	0.0137059689	362.623046875
Genetic Algorithm	48	hard	True	13.7958331108	382.212890625
Simulated Annealing	48	hard	True	4.4085559845	8.48046875
Depth-first search	49	hard	True	0.1875019073	1049.75
Depth-first with AC3	49	hard	True	0.0103490353	222.9609375
Dancing Links	49	hard	True	0.0161290169	362.623046875
Genetic Algorithm	49	hard	True	13.5726981163	382.212890625
Simulated Annealing	49	hard	True	1.0872342587	8.4638671875
Depth-first search	50	hard	True	0.0592010021	992.3125
Depth-first with AC3	50	hard	True	0.0084242821	221.5390625
Dancing Links	50	hard	True	0.0166478157	362.623046875
Genetic Algorithm	50	hard	True	6.4958531857	381.986328125
Simulated Annealing	50	hard	True	1.7975039482	8.0751953125
Depth-first search	51	hard	True	0.9301300049	1110.96875
Depth-first with AC3	51	hard	True	0.0095767975	224.3828125
Dancing Links	51	hard	True	0.0142140388	362.623046875
Genetic Algorithm	51	hard	False	34.6709239483	382.212890625
Simulated Annealing	51	hard	True	33.7404749393	8.2431640625
Depth-first search	52	hard	True	0.0338907242	1026.7734375
Depth-first with AC3	52	hard	True	0.0078308582	222.25
Dancing Links	52	hard	True	0.0140130520	362.623046875
Genetic Algorithm	52	hard	True	19.5165450573	382.212890625
Simulated Annealing	52	hard	True	1.1309099197	8.19921875
Depth-first search	53	hard	True	0.0260539055	896.8671875
Depth-first with AC3	53	hard	True	0.0056047440	219.40625
Dancing Links	53	hard	True	0.0136446953	362.623046875
Genetic Algorithm	53	hard	True	5.8803000450	381.119140625
Simulated Annealing	53	hard	True	0.9829497337	8.640625
Depth-first search	54	hard	True	0.2056109905	1179.453125
Depth-first with AC3	54	hard	True	0.0090801716	287.4921875
Dancing Links	54	hard	True	0.0140161514	362.623046875
Genetic Algorithm	54	hard	False	35.8152861595	382.212890625
Simulated Annealing	54	hard	True	4.9180998802	8.240234375
Depth-first search	55	hard	True	0.2747802734	1001.421875
Depth-first with AC3	55	hard	True	0.0072062016	221.5390625
Dancing Links	55	hard	True	0.0137090683	362.623046875
Genetic Algorithm	55	hard	True	12.5413699150	382.212890625
Simulated Annealing	55	hard	True	2.0268971920	8.4970703125
Depth-first search	56	hard	True	0.0715038776	1108.46875
Depth-first with AC3	56	hard	True	0.0083448887	224.4375
Dancing Links	56	hard	True	0.0141031742	362.623046875
Genetic Algorithm	56	hard	True	26.4294338226	382.212890625
Simulated Annealing	56	hard	True	1.8823421001	8.2431640625
Depth-first search	57	hard	True	0.2459180355	1087.90625
